P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P07840643A1006|30 49|glycosylasparaginase
P07702752A0545|30 47|rat P450c17 promoter
P03894482A0549|30 47|serum IgE antibodies
P08666398T0000|30 47|Batten disease (CLN3
P07865129A0293|30 47|TATA sequence motifs
P08530418A1182|30 46|TR2 orphan receptor
P11279108T0000|30 45|CArG box sequences
P09592168T0000|30 45|DNA binding domain
P10980416T0000|30 45|bone sialoprotein
P09694860A0498|30 43|PTP-like domain
P09722508A0953|30 42|Galpha11 Q209L
P08973917A0632|30 42|human PWP2 gene
P10652102A0620|30 42|wild-type Fus3
P07691837A1359|30 42|K3 keratin gene
P11156618T0000|30 41|mouse SCL loci
P08139914A0554|30 41|dnHLH protein
P01113908A0475|30 41|transferrin 2
P07774925A0084|30 40|BRCA1 region
P10760950A1133|30 39|N-utrophin
P07753837A0724|30 39|desmoglein
P07666414A0614|30 38|tmy-1 gene
P09712644T0000|30 38|GluR2 gene
P03022129A0842|30 38|MPE X Fe(II
P07609079A0387|30 37|T3R alpha
P08508778A0112|30 37|NOP1 gene
P06671065A0000|30 36|insulin
P09524229A0000|30 36|laccase
P09765271A1108|30 36|insulin
P09784245T0000|30 35|MyBP-C
P08770896A1121|30 35|IGF-II
P08196616A1112|30 35|ZAP-70
P11435428A0000|30 35|AceCS1
P08668158A0765|30 34|Rpm1r
P02124710A0193|30 34|c-fos
P11595170A0582|30 34|NR5A2
P08943354A0295|30 34|SHP-1
P01906692A0321|30 34|rt-PA
P02196565A0606|30 33|GRFI
P02041088A1053|30 33|DR60
P09780228A0613|30 33|FkbB
P10688661A0237|30 33|NRSF
P08657135A1444|30 33|CKII
P09625762A0426|30 33|NFAT
P09010223A0667|30 33|ELK1
P09858714A1171|30 33|modA
P09154797A0777|30 33|stk2
P09544987A1583|30 33|PR-B
P09990315A0205|30 33|ERK2
P01644814A0068|30 32|tax
P11005808A1082|30 32|Raf
P11355576A1125|30 32|CDK
P09704857T0000|30 32|CD4
P00464387A1185|30 32|IgE
P01722479A0302|30 32|HCG
P07651386A0925|30 32|p53
P11071789T0000|30 32|ACE
P01774093T0000|30 32|IgM
P02545903A0639|30 32|NS3
P07112320A0086|30 32|ADA
P09482902A0942|30 32|p16
P09827446T0001|30 31|C4
P10560997A1072|30 31|LH
P10825293T0000|30 31|Fc
P11067928A0532|30 30|J
P01993181T0000|31 76|Pseudomonas putida PpG7 salicylate hydroxylase gene
P10379942T0000|31 75|Marek's disease virus serotype 2 glycoprotein M gene
P07799939A0628|31 74|PDGF-activated serine/threonine phosphoprotein
P07867604A1777|31 63|inhibin/activin beta B-subunit mRNAs
P09291098T0000|31 62|gamma-glutamyl transpeptidase gene
P01995951A0000|31 61|human immunodeficiency virus (HIV)
P02928112T0000|31 60|human U2 snRNA-specific A' protein
P02391344T0000|31 59|rat NADH-cytochrome b5 reductase
P06152670T0000|31 54|somatostatin-like hormone
P07665172A0000|31 51|basic helix-loop-helix
P08792217A1407|31 50|testicular TIMP-2 mRNA
P09524222A1113|31 49|beta-adducin isoform
P10466825T0000|31 48|baculovirus p10 mRNA
P03678269A0633|31 47|plasma cholesterol
P11094073A0000|31 47|Vav family proteins
P02175433A0575|31 46|beta A-globin gene
P09073074T0000|31 46|FGFR-3 psuedogene
P11243306A0961|31 45|oxLDL antibodies
P08037338A0000|31 44|erythropoietin
P10429946A0473|31 44|V) collagen gene
P09521907A0190|31 44|murine Otx genes
P02555703T0000|31 43|interleukin-3
P01309587A0715|31 43|BMRF1 promoter
P08440688A1509|31 42|G alpha i genes
P08055941A1264|31 42|beta subunits
P01569102A0708|31 41|LDL receptor
P01963438T0000|31 41|cytochrome c
P03065140A0273|31 41|GAL4 protein
P02201905A1004|31 41|ABFI protein
P09881692A1109|31 41|latent genes
P03612316A0102|31 41|low-protein
P10512882A0137|31 40|Src kinases
P09311808A0341|31 40|p4 molecule
P09515924A0104|31 40|PDH complex
P02149570T0000|31 38|protein S
P03117046T0000|31 38|vinculin
P08533473A0375|31 38|ADH1 gene
P08223576A1261|31 38|T protein
P09032254A0724|31 38|AP-1 site
P09738010A0305|31 37|insulin
P09228092A1779|31 37|dUTPase
P11116148A0741|31 37|insulin
P00227610A1593|31 37|DBP mRNA
P09535833A0228|31 36|m-Staf
P08163546A1230|31 36|Ypt51p
P07518460A0771|31 35|PTP1C
P11062067A0000|31 35|SAPK1
P08986770A0268|31 35|I-POU
P08035517A0753|31 35|IEP86
P09396796A1173|31 35|CDF-1
P11376946A0000|31 35|SHP-1
P11522658A0086|31 35|ErbB2
P08340400T0000|31 35|RPE65
P09747873T0000|31 35|GRB10
P11274149A0625|31 35|U-box
P10566630A0371|31 35|IGF-I
P07754713A0227|31 35|SPP91
P07936650A1752|31 35|ets-1
P09111314A0970|31 34|cdk4
P11325944A0511|31 34|UhpB
P09827993A0000|31 34|NCPs
P09884232A0286|31 34|attB
P09006010A0527|31 34|RsaA
P10683244A0939|31 34|NBF2
P08742135A0000|31 34|ACTH
P10810294A0730|31 34|IL-6
P09566882A0693|31 34|Pho2
P02107073A0584|31 34|STE4
P01717718A1255|31 33|Gag
P08994825A0000|31 33|MPF
P02595451A1136|31 33|AN2
P01649835A0822|31 33|IBP
P10765095A0308|31 33|PRL
P01986225A0250|31 33|HSF
P09528766A0915|31 33|RSK
P07636984A1349|31 33|SP1
P09687511A1091|31 33|BCR
P03352947T0001|31 33|LAS
P10490822A1167|31 33|Ras
P08937981A0840|31 33|p46
P09698457A0778|31 33|Cux
P07624615A0267|31 32|TB
P08259650A0640|31 32|HA
P01321280A0494|31 32|E6
P03025606T0000|32 70|herpes simplex virus type 1 late (gamma 2) gene
P09426595T0000|32 56|saccharopine dehydrogenase
P07405701T0000|32 55|platelet monoamine oxidase
P10834707A1533|32 55|platelet activating factor
P11108839A0401|32 53|70 kDa cytoplasmic kinase
P08152800A0709|32 52|full-length ERM protein
P10854699A0424|32 52|full-length FGF-AS mRNA
P10669594A0969|32 51|chimeric SefA proteins
P02839716A1907|32 51|E2-dependent enhancer
P08856132T0000|32 49|intra-uterine kinin
P02353453A1249|32 49|nsP3 homology region
P08583846A0121|32 48|beta-2 transferrin
P00779272T0001|32 48|Epstein-Barr virus
P08083999A0501|32 48|full-length HPV-16
P11095248A1523|32 45|mammalian FGF3s
P05536803T0001|32 44|I-131-albumin
P08270257A0551|32 43|human nm23-H1
P02123466A0272|32 43|AP-4 HLH motif
P08839832A1220|32 43|CD30v protein
P10406122T0000|32 42|LTR promoter
P08760872A0696|32 41|E2F- and CDE
P11472696A0387|32 41|fibrinogen
P09511724A0483|32 41|Dsg protein
P10972990A1518|32 41|p53 protein
P09368006A1332|32 40|NF-kappaB
P08443122A0657|32 40|PILOT gene
P09352127A0953|32 40|myoglobin
P03003695A0395|32 40|c-sis cDNA
P09572965A1235|32 39|gene agrB
P11263664T0000|32 39|deltaEF1
P07897359A0354|32 39|F protein
P10620335A0749|32 38|COUP-TF
P09840943A0144|32 38|cyclin E
P02601707A0986|32 37|DNase I
P10905349A0609|32 37|Rad54p
P09717835A0941|32 37|xIRS-u
P11054565A0654|32 37|p190-A
P10402022A0432|32 37|20 s(-1
P01870194A0302|32 36|HIV-1
P07559347A0000|32 36|bglPH
P08955136A0606|32 36|PIP5K
P08530149A0689|32 36|c-myc
P07957085A0207|32 36|Cbf3b
P09575217A0971|32 36|Stat5
P09359887A1168|32 36|Rat7p
P08065366A0918|32 36|Dbf8p
P10375638A0859|32 36|NRF-1
P07659085A1520|32 36|Oct-1
P08524235A0695|32 35|dMax
P09067577A0307|32 35|CRKL
P10713083A0170|32 35|TraR
P10841537A0669|32 35|RPB5
P11331604A0267|32 35|Gcn4
P11012568A0192|32 35|ACTH
P10792718T0000|32 35|BarX
P08943032A0000|32 35|TetR
P11075929A1657|32 35|ThlA
P09611229A1664|32 35|FAS1
P10865838A0000|32 35|VEGF
P11438651A1365|32 34|HML
P10505694A0739|32 34|C3a
P07816619A0872|32 34|Dr1
P06582285A0222|32 34|U-P
P09050861A0903|32 34|DEK
P09627285A0554|32 34|FSH
P10931524A0313|32 34|Gtx
P10910908A0767|32 34|Akt
P10517666A1069|32 33|GR
P07829057A1097|32 33|RH
P00725257A0452|32 32|E
P09726991T0000|33 72|copper-responsive transcription factor Mac1
P08251622A0000|33 69|Brassica napus 2S storage protein napA gene
P01649318A1222|33 64|EBNA-2-responsive cell DNA fragment
P10487744T0000|33 62|beta2 integrin cytoplasmic domain
P11313249T0000|33 61|CCAAT/enhancer-binding protein
P09402139A1121|33 57|phosphoenolpyruvate kinase
P06111283T0032|33 55|des-Tyr-gamma-endorphin
P11368914T0071|33 53|complement C3 gene locus
P01620129A0417|33 51|nuclear factor HiNF-D
P10405635A0374|33 51|full-length promoter
P09472608A0253|33 51|cellular protein YB-1
P01717833T0000|33 49|cyclic adenosine 3'
P02870720A0188|33 49|beta-adrenoceptor
P08144037A0000|33 49|dithiol-reductase
P07533880T0000|33 48|FinP antisense RNA
P10945781A0412|33 47|V cholerae non-O1
P10756007A1512|33 46|Rep-DNA complex
P02016053A0752|33 43|E74A protein
P10559324A0716|33 43|Ad5 E4orf6/7
P08361754A0733|33 43|b-Zip domain
P11881923A1256|33 43|haptoglobin
P03049570A1242|33 42|E2 proteins
P10944466A0451|33 42|WNT-2B gene
P08349104A0000|33 42|GAL10 genes
P10961046A0342|33 42|fibrinogen
P09726988A0275|33 42|M-CPT I mRNA
P10521447A1190|33 41|CBFalpha1
P10534402A0126|33 41|mouse gene
P09556573A1062|33 41|PPARalpha
P10749932A0000|33 40|integrin
P01392012A0228|33 40|oxytocin
P02024488A0506|33 39|nef gene
P08389074A1227|33 39|EIAV Tat
P02557350A0632|33 39|SRP54sc
P11139336A0257|33 38|INCENP
P00030183T0000|33 38|HLA-B5
P08985115A1571|33 37|37LRP
P08604338A0885|33 37|FLI-1
P02143186A1306|33 36|AHA2
P09632734A0943|33 36|ERK2
P08622698T0000|33 36|CBF1
P10376874A0759|33 36|eRF1
P08188603A0230|33 36|arg4
P08657150A1049|33 36|NCE3
P08441423A0145|33 36|GCD6
P11090172A0612|33 36|RNA3
P02030910A1070|33 36|ETS1
P09159183A0119|33 36|OBFs
P07326596A0061|33 35|IgE
P09538220A0000|33 35|mrr
P09234717A0000|33 35|Cbl
P07862533A0000|33 35|WT1
P09343426A0456|33 35|Zta
P11912261A0284|33 35|PTH
P11367523A1684|33 35|C4B
P08070393A0631|33 35|EGF
P11281268A0000|33 35|AKs
P03344812A0924|33 34|BP
P03691316A0560|33 33|K
P02547778A0786|34 67|ANT1 transcriptional control elements
P08869825A0000|34 64|flavin-containing monooxygenases
P07876194T0000|34 63|epidermal growth factor receptors
P11451995T0000|34 62|Saccharomyces cerevisiae Ste14p
P08621719A0000|34 59|c-cbl proto-oncogene product
P10094396A0000|34 59|protein kinase casein kinase 2
P09786926A0095|34 59|fatty-acid synthase promoter
P11264375A0000|34 58|immediate-early protein IE2
P02685331A0523|34 57|K. pneumoniae nifH promoter
P08891345A0684|34 57|testis-specific c-mos mRNA
P09328824A0000|34 57|retroviral v-erbA oncogene
P10218109T0000|34 57|MutT pyrophosphohydrolase
P09168892A1016|34 57|AP-1 cis-response elements
P05763347T0000|34 57|beta-adrenergic receptors
P05794247T0000|34 55|serum lipoprotein lipase
P09636670T0000|34 55|cyclin-dependent kinase
P09400613A0594|34 54|Gal4 DNA-binding domain
P08702826A0870|34 53|GSTP1 silencer element
P09827878A0091|34 52|superoxide dismutase
P10393969A0000|34 52|herpes simplex virus 1
P08676858A1084|34 51|S-RNase superfamily
P01429836A1205|34 50|GTP-binding domain
P10228561A0539|34 50|DNA polymerase beta
P08028671A0687|34 50|anti-CBP antiserum
P08484689T0000|34 49|rheumatoid factor
P07506253A0742|34 49|TK basal promoters
P09799634A0161|34 49|C-terminal domain
P09012636A0723|34 47|HDL cholesterol
P10666238A1322|34 46|E2F-1 promoter
P10333481A1102|34 45|UCP2 promoter
P01406688A0898|34 44|rap1t allele
P01004298A0744|34 44|CA component
P09315651T0000|34 43|R-FABP gene
P08978817A0620|34 43|dim1-delta
P07864652A0753|34 43|E2L1(1-98)
P10073940A0335|34 41|Wingless
P11014821T0000|34 41|Doa locus
P10397257A1142|34 41|Sp1 sites
P11238916A0838|34 41|paxillin
P09223479A1193|34 40|serpins
P08496599A0310|34 40|BGP gene
P01398106A0754|34 39|I-CreI
P11034547A1355|34 39|NBPhox
P06252883A0100|34 39|E. coli
P09190202A0166|34 39|Sec23p
P09372937T0000|34 38|Sir4p
P09623830A0000|34 38|Botox
P09556561A0671|34 38|Gar1p
P08294459A0446|34 38|SAP-1
P08454591A1322|34 37|IL-1
P08182056A0695|34 37|NQO2
P10721704A1155|34 37|mHuA
P08816483A0869|34 37|RIC3
P10913304A0894|34 37|Ets2
P10671519A0641|34 37|MAN1
P08649389A0692|34 37|CTCF
P07891713T0000|34 36|Fos
P10419521A0136|34 36|ELL
P11150315A0844|34 36|ERK
P01918073A0150|34 36|TnI
P01870428A0677|34 36|HDL
P08931991A1026|34 36|E2F
P10706887A0281|34 36|ALK
P08962614A0000|34 36|IgE
P08428965A1868|34 35|tk
P11046517A0619|34 34|Z
P10559320A0080|35 77|homolog of alphavirus nonstructural protein nsP1
P07800505T0000|35 72|human 85 kDa cytosolic phospholipase A2 gene
P08663141T0000|35 71|TATA box and transcription initiation site
P08386280T0000|35 68|Rous sarcoma virus long terminal repeat
P08029001A1020|35 63|proline-rich activator proteins
P02528329A0000|35 60|Escherichia coli F1F0-ATPase
P09649537A0000|35 59|yeast GCN2 eIF-2alpha kinase
P10752807A1598|35 59|platelet-activating factor
P10764760T0000|35 58|HIV-1 long terminal repeats
P03016883A0000|35 57|herpes simplex virus type 2
P10428862A0834|35 57|DokR-specific antibodies
P09573187T0000|35 56|LysR-type regulator CatR
P08301702A1083|35 55|rat cytochrome P-450 1A1
P01301171A0979|35 55|c-myc bearing sequences
P08429019A2022|35 54|YY1 consensus sequence
P02604420A0234|35 53|reticulin antibodies
P10574929A0583|35 53|47-kDa P-CIP2 protein
P02989786A0328|35 51|adenovirus E1A gene
P03298134A0000|35 51|interferon alfa-2b
P08798893A0611|35 51|bovine lactalbumin
P07937147A0205|35 50|pi protein mutants
P07862168A0000|35 49|IL-2R alpha) gene
P09088371T0000|35 49|antithrombin III
P01687050T0000|35 49|immunoglobulin G
P07836218A0128|35 48|beta-endorphin
P08395010T0000|35 48|thyroid hormone
P11350175A0173|35 47|protein family
P02233715A0914|35 47|IL-6 construct
P02473693A0174|35 46|fetal protein
P11517445A0221|35 46|V. cholerae O1
P09892642A0172|35 46|HPV E2 protein
P08576131A0685|35 45|USF subunits
P10103002A0705|35 45|chicken gp42
P09391173A0811|35 45|ACCase genes
P09480831A0272|35 45|human AM gene
P07528772A1539|35 45|TAM peptides
P02115118A0565|35 44|smg p25A GDI
P08918810A0967|35 44|OxyR-C199S
P00993176A0066|35 44|hemoglobin
P11024036A0984|35 44|C/EBP alpha
P07496400A0525|35 43|HMGR1 mRNA
P10026229A0950|35 43|Engrailed
P10395920A1424|35 43|ATF family
P10935488A1033|35 43|PPARgamma
P09678579A0768|35 43|AtCP1 gene
P08337841A0612|35 42|GNS genes
P08706662A1125|35 42|perforin
P10225279A0450|35 42|MDV2 UL54
P01702361A0621|35 42|collagen
P10497117A0358|35 42|V protein
P10319320A1022|35 41|16K hPRL
P09573884A0392|35 41|S-N-Pog
P10823837A1213|35 41|YLL031c
P03276246A0037|35 41|albumin
P11335116A1099|35 40|BmHR3A
P09488713A0886|35 40|Site-1
P10074520T0000|35 40|IS2404
P08806817A0716|35 40|SpSHR2
P08887661A1061|35 39|IRF-1
P07595221A0733|35 39|CIITA
P10602419A1253|35 39|Jem-1
P09364750T0000|35 39|SUP45
P11259593A1094|35 39|Ace2p
P09710641A0000|35 39|Pax-6
P09073582A0444|35 39|BglII
P01538403A1058|35 39|TFIID
P10918572A0794|35 39|ErbB2
P10935880A1049|35 39|PI-3V
P08253387A1291|35 38|hLEF
P08702644A0499|35 38|apoB
P08139543A0427|35 38|SLK1
P11428897A0318|35 38|CopG
P10721704X0000|35 38|mHuA
P07789342A1352|35 37|TSH
P10084294A0219|35 37|EPO
P10226029A0905|35 37|PKB
P11821098A0269|35 37|FSH
P09256973A0455|35 37|G] 1
P08474464A0348|35 36|TR
P11737056A0680|35 36|ME
P08230445A0000|36 66|human immunodeficiency virus type 1
P07490079T0000|36 63|striatum-enriched phosphatase
P07588750T0061|36 63|3-phosphoglycerate kinase gene
P09686344T0000|36 60|ornithine transcarbamylase
P04369884T0000|36 59|colony-stimulating factor
P09829916T0000|36 59|Escherichia coli spc operon
P04189158T0000|36 56|anti-Rh immune globulin
P10712599A0349|36 55|ubiquitin-proteasome
P11500512A0000|36 54|ATP-binding cassette
P07935626A1249|36 54|CCA)-gene transcript
P02182323A0121|36 53|tRNA(Val)(UAC) gene
P11161816A0851|36 53|endophilin proteins
P08122370A0331|36 53|herpes simplex type 1
P02102823A0492|36 53|beta-glucuronidase
P03143048A1091|36 52|apolipoprotein A-I
P02575490A1021|36 52|oIGF-I transcripts
P07654712A0774|36 51|mammalian enzymes
P01459447A0484|36 51|full-length genes
P09570133A0474|36 50|protein-protein
P09405195A0320|36 50|endogenous locus
P08101171A0924|36 50|Pc group products
P09835615A0574|36 49|nuclear protein
P07428037A0989|36 49|mouse mt 12S rRNA
P08632463A1508|36 47|beta' subunit
P08853893A0158|36 47|E2F complexes
P08676858A0309|36 47|S-RNase genes
P02118525A0737|36 46|CCK promoter
P06671385A0856|36 46|plasma renin
P07545920A1336|36 45|hsiggll295
P08628255A0932|36 45|luciferase
P06152844T0000|36 44|prolactin
P10596955A1032|36 44|troponin I
P05425195T0001|36 44|EC 2.6.1.1
P08688190A0000|36 43|O-beta-D
P08849778A0226|36 43|repA mRNA
P08636428A1363|36 43|thrombin
P02293664A0946|36 43|vimentin
P02023421A0343|36 43|collagen
P06527379T0044|36 41|beta B1
P09178491A0262|36 40|S gene
P10400757A1498|36 40|CXCR4
P11160280A1275|36 40|IRF-1
P10650939A0789|36 40|A-Fos
P09354676A1714|36 40|p16.3
P09915860A0119|36 40|mdr1b
P02789062A0000|36 40|4F2HC
P08532516A0000|36 40|cdc10
P01688841A0430|36 39|invG
P01516829A0113|36 39|SNF6
P07559563A0282|36 39|Ca2+
P09247645A0000|36 39|SEC3
P10637337A0545|36 39|TFA1
P11117263A0570|36 39|Ids3
P09135066A0653|36 39|Mek1
P09661676T0000|36 39|IL-5
P11313386A0704|36 39|CD40
P07894021A1130|36 38|DS2
P09585253A1147|36 38|ERK
P09263856A0563|36 38|Gla
P09677410A1059|36 38|p53
P11301189A1396|36 38|p19
P08918456A0455|36 38|mu 2
P02123820A0000|36 38|MAO
P02938185A0223|36 38|E1a
P01619114A0383|36 38|MSP
P04428800T0001|36 38|LAP
P07835888A0402|36 37|Xd
P08352066A0000|36 37|E2
P08282576A0297|36 37|T1
P08608222T0000|37 84|human granulocyte colony-stimulating factor receptor
P01347944A0964|37 68|homeodomain binding site II sequence
P08297376A0236|37 64|CCAAT/enhancer binding protein
P08900190A0430|37 62|immediate early gene products
P08105994T0000|37 61|gamma-glutamyl transferase
P11063252A0437|37 59|HSL translation start site
P01330309A1134|37 58|myogenin fusion proteins
P00054900A0226|37 57|chloroacetate esterase
P03007281A0905|37 56|Df(2L)OD15 breakpoint
P01398068A0948|37 56|his175 or his273 mutant
P01748292A0000|37 56|G protein alpha subunit
P09268661A1405|37 56|reverse transcriptase
P08268912A0657|37 55|human cDNA derived RNA
P01844982A0324|37 54|anti-nuclear factor
P02846640A0643|37 54|indoxyl phosphatase
P02685565A0165|37 53|c-myb-encoded mRNA
P08483479A1056|37 52|collagen promoter
P09587549T0001|37 51|interferon alpha
P00001606T0076|37 50|5-nucleotidase
P08264617A0000|37 50|ErbB-3 receptor
P01579537A0000|37 50|botulinum toxin
P09324988X0000|37 49|nuclear lamins
P08387519A0000|37 47|human desmin
P09647240A0000|37 47|Janus kinase
P08923460A0565|37 47|RUSH-1 alpha
P03379058A0188|37 47|E1 alpha cDNA
P06433442T0000|37 46|factor VIII
P07683131A0885|37 46|SRC-family
P09154819A0501|37 46|tenascin-C
P11290415A0288|37 46|ICBP90 gene
P00173860A0475|37 45|aflatoxin
P08657157A0000|37 45|POU domain
P07557446T0000|37 45|VCSA1 gene
P09456312A1064|37 43|RanGAP1
P09371431T0000|37 43|thiCOGE
P08806693A0584|37 42|GATA-1
P06208024A0168|37 42|DNase I
P10390158A1150|37 41|Pit-1
P10073947A1110|37 41|PAI-1
P10611225A1127|37 41|eIF4A
P11459962A0785|37 41|Rad52
P07547500A0066|37 40|GAL4
P10748113A0187|37 40|RIM2
P01675763A1389|37 40|CD4+
P10556046A0328|37 40|ALK2
P11158310A0993|37 40|NF-Y
P09920539A0272|37 40|GnRH
P02455821A0099|37 40|AccI
P10669594A0000|37 40|SefA
P10541550A0487|37 40|ACE3
P07759529A0288|37 39|CDP
P10207115A0389|37 39|p21
P10722737A1726|37 39|Sp1
P09488725A0904|37 39|SFD
P08762472A0000|37 39|LTH
P02590869A0743|37 39|IgG
P08631667A0851|37 39|tmk
P10521450A0437|37 39|Btk
P10563789A1951|37 38|CG
P05779953T0000|37 38|LH
P10938105A0000|38 72|fibroblast growth factor receptor 2 gene
P08824585A0260|38 67|hematopoietic progenitor kinase 1
P09657003T0000|38 64|RNA-dependent RNA polymerases
P11278713A1054|38 61|exon 4 protein-binding site
P08887674A0920|38 61|cyclin D-dependent kinases
P09484463T0000|38 58|auxin-binding proteins
P08497190T0079|38 57|hyp regulatory mutants
P07798271A0330|38 56|Ets-related proteins
P01309910A0428|38 55|TAR-binding protein
P06957125T0000|38 55|beta 2-adrenoceptor
P07260389A0221|38 55|serotonin receptors
P10942599A1298|38 54|Hoxa-1 target genes
P08585324A0823|38 54|Leu-tRNA precursor
P08620889A0771|38 54|aldolase C promoter
P09650299A1334|38 53|VirD2 omega domain
P08828152A1238|38 53|RPO1 polypeptides
P03980386A0000|38 50|angiotensin II
P07528746A1049|38 50|ASGPR subunits
P09832518A0615|38 49|Cdc68 protein
P07565031A0454|38 49|V. cholerae O1
P03166458A1356|38 49|GC box element
P11247663A1447|38 49|DNAH9 alleles
P02902927A0145|38 49|rat GHF-1 cDNA
P01895384A0746|38 48|IE1 promoter
P08561893A0100|38 48|bHLH factors
P01901946A0243|38 48|SRE sequence
P08172653A1589|38 48|TnT isoforms
P11159363A1251|38 47|E2F element
P09601510A0215|38 47|FV pol genes
P02022188A0112|38 47|BJ1 protein
P03045725A0872|38 46|prolactin
P10891489A0152|38 46|Y proteins
P06209403A0562|38 46|U2/4 locus
P07557387A0241|38 46|C/EBP beta
P08862522A0690|38 45|P8 mutant
P06324121A0256|38 45|IEmRNA-5
P07856102A1616|38 45|M protein
P03060846T0000|38 44|23S rRNA
P07596697A0971|38 44|motilin
P09477316A0140|38 44|Hox gene
P08626610A0931|38 44|SREBP-1
P08643682A0268|38 44|CBFbeta
P07834582A0115|38 44|n-3 EFAs
P06278424A0145|38 43|CH gene
P09169420A0000|38 42|PI3Ks
P10403575A1401|38 42|DAX-1
P07579328A1345|38 42|MZF-1
P02837763A0259|38 42|HL-14
P09638485A0111|38 42|tt-MA
P01954355A0997|38 41|IL-1
P09792702A0754|38 41|JNK1
P09636708A0460|38 41|FtsH
P10074425A0729|38 41|Cdk2
P09694514A0000|38 41|C3aR
P10564472A0853|38 41|TraR
P02143186A0867|38 41|AHA3
P08425050A0898|38 41|rpeA
P09199292A0536|38 41|p107
P08790291A1022|38 41|thi1
P02335713A0905|38 40|PbB
P11278855A0205|38 40|p65
P09326163A0942|38 40|SMR
P11207288A0897|38 40|ABR
P07809410A0606|38 40|TSH
P09234720A1015|38 40|MEK
P07828600A0095|38 40|SSE
P10687862A1980|38 40|CII
P10446206A0000|38 40|PS1
P08268718A0676|38 40|p50
P09341158A0167|38 40|mu2
P08580083A0259|38 40|Fyn
P02968055A0984|38 40|ANF
P10409755A1846|38 39|NO
P03372422A0558|38 39|N2
P09945838T0000|38 39|Ga
P11123316T0000|39 66|phosphatidylinositol 3-kinase
P10486210A0126|39 64|human aldehyde reductase gene
P07528028A1192|39 63|FGF-1 cell surface receptors
P02837575A0979|39 62|eukaryotic topoisomerase I
